V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
2;43;0,991;0,409;37,027;0,208;0,84;0,115;-22,097;0,0453;127,999;0,75
2;36;0,984;0,138;219,25;0,144;0,936;0,0806;-17,179;0,0765;142,242;0,107
2;41;0,996;0,276;237,12;0,0127;0,918;0,148;-34,464;0,0362;72,704;0,0548
2;57;0,0174;0,485;309,429;0,739;0,08;0,0674;-4,693;0,0567;74,647;0,0629
2;54;0,595;0,503;280,267;0,339;0,0974;0,148;-9,784;0,0453;86,893;0,0288
2;44;0,326;0,461;223,64;0,247;0,21;0,109;-13,594;0,0464;85,882;0,178
2;40;0,000829;0,576;168;0,968;0,0149;0,317;-3,086;0,0518;96,55;0,0547
2;40;0,333;0,594;436,2;0,809;0,827;0,524;-6,489;0,0379;109,209;0,155
2;42;0,00366;0,33;354,627;0,488;0,0494;0,361;-5,376;0,0584;72,207;0,0384
2;45;0,45;0,405;402,28;0,378;0,58;0,105;-9,864;0,0508;78,232;0,0381
2;40;0,00177;0,418;235,493;0,686;0,0176;0,863;-8,658;0,0653;101,136;0,608
2;29;0,253;0,538;65,533;0,833;0,459;0,219;-9,535;0,0366;100,899;0,0383
2;42;0,333;0,524;261,851;0,443;0,911;0,107;-15,092;0,0311;115,024;0,104
2;36;0,278;0,423;359,76;0,506;0,723;0,099;-12,286;0,0534;105,338;0,543
2;44;0,0311;0,155;328,92;0,557;8,96E-05;0,136;-8,21;0,0451;98,705;0,631
2;29;0,0256;0,561;150,855;0,556;0;0,101;-6,966;0,0912;69,716;0,0489
2;26;0,00379;0,288;46,2;0,291;0,244;0,797;-15,444;0,0511;89,712;0,0376
2;46;0,0328;0,569;204,933;0,948;0,925;0,0928;-7,536;0,0525;71,999;0,0945
2;35;0,208;0,189;84,04;0,614;0,535;0,454;-6,895;0,0451;125,827;0,032
2;30;0,00555;0,51;173,419;0,822;0,000565;0,11;-4,602;0,0397;110,74;0,0845
2;30;0,0597;0,729;206,16;0,874;0,44;0,174;-4,664;0,0466;81,497;0,0386
2;30;0,504;0,35;466;0,772;0,653;0,115;-4,893;0,0424;76,942;0,0729
2;34;0,457;0,709;1822,64;0,687;0,837;0,0951;-12,527;0,0377;82,953;0,0373
2;27;0,00239;0,778;185,6;0,53;0,837;0,196;-5,721;0,0443;132,715;0,0338
2;30;0,175;0,387;195,141;0,751;0,76;0,114;-12,217;0,0608;71,863;0,17
2;41;0,00901;0,633;260,453;0,56;0,552;0,152;-5,813;0,0483;97,408;0,242
2;30;0,0421;0,375;278,413;0,479;0,318;0,171;-9,127;0,0402;80,255;0,467
2;41;0,022;0,389;187,347;0,83;0,0156;0,167;-4,314;0,0521;125,77;0,0394
2;31;0,971;0,801;318,88;0,649;0,81;0,0886;-16,399;0,0697;110,925;0,373
2;29;0,000589;0,312;221,698;0,871;0,575;0,279;-6,502;0,0418;83,99;0,362
2;30;0,134;0,198;105,978;0,69;0,902;0,108;-6,708;0,0484;132,568;0,0318
2;21;0,611;0,236;96,04;0,377;4,88E-05;0,11;-10,449;0,039;78,787;0,109
2;28;0,0073;0,495;325,714;0,977;0,198;0,416;-3,107;0,0447;78,402;0,0462
2;44;0,00098;0,797;295,915;0,693;0,926;0,106;-7,949;0,0485;177,744;0,0846
2;29;0,000335;0,326;43,96;0,963;0,947;0,339;-9,042;0,0427;93,1;0,0338
2;30;0,0322;0,633;148,625;0,819;0,187;0,238;-4,32;0,0286;80,167;0,282
2;25;0,000918;0,717;232;0,918;0,0425;0,0997;-0,747;0,0352;87,912;0,04
2;26;0,253;0,152;133,982;0,691;0,872;0,145;-14,592;0,0349;83,553;0,271
2;33;0,261;0,173;150,225;0,745;0,609;0,059;-11,084;0,0464;134,466;0,0589
2;22;0,00305;0,797;249,067;0,812;0,0496;0,1;-8,396;0,051;130,722;0,659
2;26;0,758;0,297;59,933;0,453;0,0496;0,602;-14,572;0,0556;76,669;0,906
2;27;0,887;0,299;427,6;0,358;0,841;0,458;-13,027;0,0281;83,413;0,214
2;61;0,862;0,376;168,093;0,246;0;0,155;-9,803;0,0286;80,167;0,282
2;58;0,78;0,0964;253,147;0,46;0,814;0,0909;-9,822;0,0352;87,912;0,04
2;53;0,744;0,257;233,901;0,452;0,0996;0,38;-12,365;0,0349;83,553;0,271
2;54;0,0278;0,512;178,427;0,84;0,142;0,077;-6,817;0,0464;134,466;0,0589
2;49;0,456;0,655;336,579;0,398;0,00099;0,0814;-13,822;0,051;130,722;0,659
2;49;0,528;0,788;229,009;0,461;2,69E-05;0,0886;-11,704;0,0556;76,669;0,906
2;52;0,21;0,568;207,2;0,302;0;0,104;-7,817;0,0281;83,413;0,214
2;55;0,194;0,576;226,24;0,421;0,000291;0,126;-13,545;0,0449;82,841;0,266
2;54;0,852;0,339;266,733;0,197;0,015;0,111;-13,937;0,0362;91,33;0,0385
2;53;0,814;0,678;65,347;0,353;0;0,0904;-15,636;0,0716;84,545;0,777
2;51;0,0312;0,504;294,24;0,718;1,76E-05;0,0946;-5,871;0,0277;90,05;0,357
2;56;0,84;0,255;237,587;0,243;2,36E-06;0,187;-11,194;0,0384;89,258;0,135
2;47;0,379;0,676;260,75;0,647;0,000158;0,391;-8,747;0,0302;102,9;0,474
2;51;0,000383;0,345;281,133;0,93;0,00129;0,792;-5,109;0,0819;105,546;0,1
2;57;0,677;0,654;225,147;0,24;0,00649;0,0784;-15,692;0,0288;83,013;0,246
2;52;0,361;0,167;153,953;0,179;0,899;0,135;-20,276;0,0342;68,622;0,0343
2;52;0,00975;0,865;253,23;0,623;0,000483;0,0842;-7,315;0,0387;134,972;0,693
2;74;0,0241;0,469;382,834;0,537;0,00201;0,269;-10,421;0,152;124,193;0,783
2;71;0,047;0,595;223,64;0,723;0,0286;0,0995;-8,256;0,0349;108,043;0,272
